District,Building name,Last date of residence of the case(s),Related probable/confirmed cases,long_address,LatLong
Central & Western,Ho Lee Commercial Building (non-residential),17/03/2020,360,"Ho Lee Commercial Building (non-residential), Central & Western","22.28073,114.15533"
Central & Western,Ho Lee Commercial Building (non-residential),17/03/2020,362,"Ho Lee Commercial Building (non-residential), Central & Western","22.28073,114.15533"
Central & Western,Ho Lee Commercial Building (non-residential),17/03/2020,367,"Ho Lee Commercial Building (non-residential), Central & Western","22.28073,114.15533"
Central & Western,Ho Lee Commercial Building (non-residential),17/03/2020,384,"Ho Lee Commercial Building (non-residential), Central & Western","22.28073,114.15533"
Central & Western,Ho Lee Commercial Building (non-residential),17/03/2020,386,"Ho Lee Commercial Building (non-residential), Central & Western","22.28073,114.15533"
Wan Chai,76-84 Jaffe Road (non-residential),17/03/2020,276,"76-84 Jaffe Road (non-residential), Wan Chai","22.27854,114.17095"
Wan Chai,76-84 Jaffe Road (non-residential),17/03/2020,343,"76-84 Jaffe Road (non-residential), Wan Chai","22.27854,114.17095"
Wan Chai,76-84 Jaffe Road (non-residential),17/03/2020,362,"76-84 Jaffe Road (non-residential), Wan Chai","22.27854,114.17095"
Wan Chai,76-84 Jaffe Road (non-residential),17/03/2020,367,"76-84 Jaffe Road (non-residential), Wan Chai","22.27854,114.17095"
Wan Chai,76-84 Jaffe Road (non-residential),17/03/2020,386,"76-84 Jaffe Road (non-residential), Wan Chai","22.27854,114.17095"
Central & Western,Yip Fung Building (non-residential),17/03/2020,312,"Yip Fung Building (non-residential), Central & Western","22.28712,114.13678"
Central & Western,Bank of China building (non-residential),18/03/2020,106,"Bank of China building (non-residential), Central & Western","22.28022,114.16013"
Central & Western,Bank of China building (non-residential),18/03/2020,183,"Bank of China building (non-residential), Central & Western","22.28022,114.16013"
Central & Western,Bank of China building (non-residential),18/03/2020,204,"Bank of China building (non-residential), Central & Western","22.28022,114.16013"
